company,ticker,document_role,period,document_type,source_type,source_url,source_identifier,source_status,raw_sha256,raw_file_visible_in_clean_worktree,prior_runtime_audit_source_file_present,notes
Apple,AAPL,EXISTING_CANONICAL_ANNUAL,FY2025,ANNUAL,issuer_investor_relations,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000320193/c24e7a28-5254-4dfa-9447-62aaa3c24bb1.pdf,aapl_fy2025,MANIFESTED_REUSABLE_AFTER_EXTERNAL_PATH_VERIFICATION,108590052c3ba5400c63660d787fe7ed4e43868292946d7a7facebe9ab7d1aab,False,True,Canonical benchmark manifest is retained; raw PDFs are not committed in this clean intake worktree.
JPMorganChase,JPM,EXISTING_CANONICAL_ANNUAL,FY2025,ANNUAL,issuer_investor_relations,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/annualreport-2025.pdf,jpm_fy2025,MANIFESTED_REUSABLE_AFTER_EXTERNAL_PATH_VERIFICATION,2a3ee9733eafd01e7667c5540fbd797c4cc688d14f00638a877f5623d1316d9d,False,True,Canonical benchmark manifest is retained; raw PDFs are not committed in this clean intake worktree.
The Coca-Cola Company,KO,EXISTING_CANONICAL_ANNUAL,FY2025,ANNUAL,issuer_investor_relations,https://investors.coca-colacompany.com/financial-information,ko_fy2025,MANIFESTED_REUSABLE_AFTER_EXTERNAL_PATH_VERIFICATION,3cf15f041ac30a094d868f383272d5129762dc4ef457413b95dcdae09e560015,False,True,Canonical benchmark manifest is retained; raw PDFs are not committed in this clean intake worktree.
Microsoft,MSFT,EXISTING_CANONICAL_ANNUAL,FY2025,ANNUAL,issuer_investor_relations,https://www.microsoft.com/investor/reports/ar25/download-center/index.html,msft_fy2025,MANIFESTED_REUSABLE_AFTER_EXTERNAL_PATH_VERIFICATION,1fb4c08a3aa6de381aec07aab6588964534c1a291d66046f950153ccdb84c3d4,False,True,Canonical benchmark manifest is retained; raw PDFs are not committed in this clean intake worktree.
NVIDIA,NVDA,EXISTING_CANONICAL_ANNUAL,FY2025,ANNUAL,issuer_investor_relations,https://s201.q4cdn.com/141608511/files/doc_financials/2025/annual/NVIDIA-2025-Annual-Report.pdf,nvda_fy2025,MANIFESTED_REUSABLE_AFTER_EXTERNAL_PATH_VERIFICATION,757b344ab62ba282f6e44e0702e8ce5f190d88fb23b5e0a2beaf4cb277a395cc,False,True,Canonical benchmark manifest is retained; raw PDFs are not committed in this clean intake worktree.
Pfizer,PFE,EXISTING_CANONICAL_ANNUAL,FY2024,ANNUAL,issuer_investor_relations,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000078003/58225110-35f3-46df-a207-d87bb30eaedd.pdf,pfe_fy2024,MANIFESTED_REUSABLE_AFTER_EXTERNAL_PATH_VERIFICATION,8ee0b08f2f2c9326a3fab44642507c7907b53e75cc5a12839e8cde2228ed0229,False,True,Canonical benchmark manifest is retained; raw PDFs are not committed in this clean intake worktree.
Tesla,TSLA,EXISTING_CANONICAL_ANNUAL,FY2025,ANNUAL,issuer_investor_relations,https://ir.tesla.com/sec-filings?DocType=Annual&SortOrder=Date+Descending,tsla_fy2025,MANIFESTED_REUSABLE_AFTER_EXTERNAL_PATH_VERIFICATION,5e33e314f47e85380f2e6a7d84481bd965e528f6614363c6b8fbce1a1d6df523,False,True,Canonical benchmark manifest is retained; raw PDFs are not committed in this clean intake worktree.
Visa,V,EXISTING_CANONICAL_ANNUAL,FY2025,ANNUAL,issuer_investor_relations,https://investor.visa.com/financial-information/annual-reports-and-proxies/default.aspx,v_fy2025,MANIFESTED_REUSABLE_AFTER_EXTERNAL_PATH_VERIFICATION,1fb927051da5346b0f5c3a9447a3bdf42c5ea9259000c94398db5965ddbcc7dd,False,True,Canonical benchmark manifest is retained; raw PDFs are not committed in this clean intake worktree.
Alphabet Inc.,GOOGL,SHADOW_PRIMARY_ANNUAL_CANDIDATE,FY2025,ANNUAL,SEC_EDGAR_PRIMARY_HTML,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,0001652044-26-000018,SHADOW_ONLY_REACQUIRE_AND_VERIFY_BEFORE_CANONICAL_REUSE,c2f6301004f35411a20611c14ff01d80a85c0bcbab6053c80d8cc7f6fc747161,False,True,NF-OPT-17 runtime_shadow_only; runtime_dir_committed=false. Acquisition lead only.
"Amazon.com, Inc.",AMZN,SHADOW_PRIMARY_ANNUAL_CANDIDATE,FY2025,ANNUAL,SEC_EDGAR_PRIMARY_HTML,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,0001018724-26-000004,SHADOW_ONLY_REACQUIRE_AND_VERIFY_BEFORE_CANONICAL_REUSE,beb1bfc28558135e76882db0cf36ba72a1ab44e2144fe37534f4da1e120ddb57,False,True,NF-OPT-17 runtime_shadow_only; runtime_dir_committed=false. Acquisition lead only.
Microsoft Corporation,MSFT,PLANNED_NEW_ANNUAL,FY2023,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000789019.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
Microsoft Corporation,MSFT,PLANNED_NEW_ANNUAL,FY2024,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000789019.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
Microsoft Corporation,MSFT,PLANNED_NEW_QUARTERLY,FY2025-Q1,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000789019.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
Microsoft Corporation,MSFT,PLANNED_NEW_QUARTERLY,FY2025-Q2,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000789019.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
Microsoft Corporation,MSFT,PLANNED_NEW_QUARTERLY,FY2025-Q3,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000789019.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
Apple Inc.,AAPL,PLANNED_NEW_ANNUAL,FY2023,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000320193.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
Apple Inc.,AAPL,PLANNED_NEW_ANNUAL,FY2024,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000320193.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
Apple Inc.,AAPL,PLANNED_NEW_QUARTERLY,FY2025-Q1,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000320193.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
